
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): July
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,07/01/2014,0061,N127DL,ATL,11:59,11:59,0292 ,0280,0,12:23,0024,0000,0000,0000,0000,0000,
  DL,07/01/2014,0240,N808DN,ATL,06:00,05:59,0288 ,0287,-1,06:29,0030,0000,0000,0000,0000,0000,
  DL,07/01/2014,0414,N712TW,JFK,08:30,08:27,0335 ,0331,-3,08:47,0020,0000,0000,0000,0000,0000,
  DL,07/01/2014,0418,N702TW,JFK,06:45,06:48,0339 ,0328,3,07:02,0014,0000,0000,0000,0000,0000,
  DL,07/01/2014,0468,N707TW,JFK,11:15,11:16,0340 ,0331,1,11:43,0027,0000,0000,0000,0000,0000,
  DL,07/01/2014,0806,N139DL,MSP,00:35,00:32,0210 ,0216,-3,00:52,0020,0000,0000,0000,0000,0000,
  DL,07/01/2014,0854,N137DL,DTW,07:00,06:58,0276 ,0266,-2,07:13,0015,0000,0000,0000,0000,0000,
  DL,07/01/2014,1106,N581NW,MSP,07:30,07:38,0217 ,0208,8,07:51,0013,0000,0000,0000,0000,0000,
  DL,07/01/2014,1151,N589NW,HNL,15:10,15:10,0331 ,0328,0,15:38,0028,0000,0000,0000,0000,0000,
  DL,07/01/2014,1221,N819DN,ATL,23:45,23:43,0277 ,0262,-2,23:59,0016,0000,0000,0000,0000,0000,
  DL,07/01/2014,1420,N813DN,DTW,11:15,11:12,0282 ,0276,-3,11:37,0025,0000,0000,0000,0000,0000,
  DL,07/01/2014,1680,N804DN,ATL,16:00,15:58,0289 ,0273,-2,16:17,0019,0000,0000,0000,0000,0000,
  DL,07/01/2014,1866,N806DN,ATL,07:20,07:20,0284 ,0279,0,07:42,0022,0000,0000,0000,0000,0000,
  DL,07/01/2014,1880,N129DL,ATL,22:50,22:46,0285 ,0286,-4,23:25,0039,0000,0000,0000,0000,0000,
  DL,07/01/2014,1894,N340NW,CVG,22:18,22:08,0272 ,0256,-10,22:27,0019,0000,0000,0000,0000,0000,
  DL,07/01/2014,1988,N6714Q,DTW,22:30,22:42,0277 ,0267,12,23:07,0025,0000,0000,0000,0000,0000,
  DL,07/01/2014,2040,N703TW,JFK,16:00,15:55,0330 ,0331,-5,16:12,0017,0000,0000,0000,0000,0000,
  DL,07/01/2014,2049,N593NW,ATL,14:11,14:12,0289 ,0278,1,14:36,0024,0000,0000,0000,0000,0000,
  DL,07/01/2014,2240,N717TW,JFK,21:30,21:29,0318 ,0318,-1,21:48,0019,0000,0000,0000,0000,0000,
  DL,07/01/2014,2261,N143DA,ATL,08:45,08:41,0289 ,0281,-4,09:06,0025,0000,0000,0000,0000,0000,
  DL,07/01/2014,2305,N801DZ,MSP,12:30,12:27,0217 ,0211,-3,12:43,0016,0000,0000,0000,0000,0000,
  DL,07/01/2014,2340,N709TW,JFK,13:15,13:07,0349 ,0360,-8,13:36,0029,0000,0000,0000,0000,0000,
  DL,07/01/2014,2375,N328NW,SLC,13:10,13:09,0113 ,0105,-1,13:33,0024,0000,0000,0000,0000,0000,
  DL,07/01/2014,2566,N955DN,MSP,06:15,06:12,0225 ,0230,-3,06:42,0030,0000,0000,0000,0000,0000,
  DL,07/01/2014,2571,N712TW,JFK,23:00,22:59,0325 ,0331,-1,23:31,0032,0000,0000,0000,0000,0000,
  DL,07/02/2014,0061,N124DE,ATL,11:56,11:49,0293 ,0268,-7,12:13,0024,0000,0000,0000,0000,0000,
  DL,07/02/2014,0240,N6709 ,ATL,06:15,06:01,0291 ,0278,-14,06:34,0033,0000,0000,0000,0000,0000,
  DL,07/02/2014,0414,N704X ,JFK,08:15,08:12,0341 ,0378,-3,08:31,0019,0000,0000,0034,0000,0000,
  DL,07/02/2014,0418,N705TW,JFK,06:45,06:39,0341 ,0763,-6,06:56,0017,0000,0000,0000,0000,0000,
  DL,07/02/2014,0468,N703TW,JFK,11:20,13:27,0349 ,0358,127,13:51,0024,0000,0000,0136,0000,0000,
  DL,07/02/2014,0806,N137DL,MSP,00:35,00:32,0211 ,0211,-3,00:49,0017,0000,0000,0000,0000,0000,
  DL,07/02/2014,0854,N584NW,DTW,07:05,07:03,0274 ,0279,-2,07:26,0023,0000,0000,0000,0000,0000,
  DL,07/02/2014,0898,N596NW,ATL,14:11,14:12,0293 ,0280,1,14:36,0024,0000,0000,0000,0000,0000,
  DL,07/02/2014,1106,N589NW,MSP,08:30,08:26,0217 ,0209,-4,08:41,0015,0000,0000,0000,0000,0000,
  DL,07/02/2014,1151,N583NW,HNL,15:10,15:03,0333 ,0331,-7,15:33,0030,0000,0000,0000,0000,0000,
  DL,07/02/2014,1221,N802DN,ATL,23:40,23:41,0280 ,0265,1,00:01,0020,0000,0000,0000,0000,0000,
  DL,07/02/2014,1420,N696DL,DTW,11:20,11:19,0282 ,0272,-1,11:40,0021,0000,0000,0000,0000,0000,
  DL,07/02/2014,1680,N822DN,ATL,16:00,16:00,0292 ,0273,0,16:26,0026,0000,0000,0000,0000,0000,
  DL,07/02/2014,1866,N808DN,ATL,07:30,07:35,0287 ,0268,5,07:54,0019,0000,0000,0000,0000,0000,
  DL,07/02/2014,1880,N584NW,ATL,22:50,22:43,0288 ,0278,-7,23:15,0032,0000,0000,0000,0000,0000,
  DL,07/02/2014,1894,N349NW,CVG,22:15,22:26,0274 ,0265,11,22:53,0027,0000,0000,0000,0000,0000,
  DL,07/02/2014,2040,N722TW,JFK,16:00,16:27,0343 ,0338,27,16:46,0019,0010,0000,0000,0000,0012,
  DL,07/02/2014,2105,N695DL,MSP,15:17,15:15,0217 ,0229,-2,15:51,0036,0000,0000,0000,0000,0000,
  DL,07/02/2014,2130,N328NW,SLC,06:00,05:57,0116 ,0107,-3,06:17,0020,0000,0000,0000,0000,0000,
  DL,07/02/2014,2240,N707TW,JFK,21:15,21:15,0325 ,0325,0,21:36,0021,0000,0000,0000,0000,0000,
