
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): June
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,06/01/2014,0061,N821DN,ATL,12:00,12:05,0290 ,0276,5,12:27,0022,0000,0000,0000,0000,0000,
  DL,06/01/2014,0240,N126DL,ATL,06:15,06:14,0282 ,0258,-1,06:30,0016,0000,0000,0000,0000,0000,
  DL,06/01/2014,0468,N711ZX,JFK,13:00,12:55,0346 ,0349,-5,13:23,0028,0000,0000,0000,0000,0000,
  DL,06/01/2014,0854,N125DL,DTW,07:00,06:57,0276 ,0251,-3,07:11,0014,0000,0000,0000,0000,0000,
  DL,06/01/2014,1106,N584NW,MSP,07:45,07:40,0222 ,0203,-5,07:54,0014,0000,0000,0000,0000,0000,
  DL,06/01/2014,1151,N594NW,HNL,17:50,17:59,0333 ,0312,9,18:16,0017,0000,0000,0000,0000,0000,
  DL,06/01/2014,1303,N813DN,DTW,13:05,13:01,0285 ,0271,-4,13:32,0031,0000,0000,0000,0000,0000,
  DL,06/01/2014,1355,N802DN,ATL,14:25,14:22,0287 ,0269,-3,14:38,0016,0000,0000,0000,0000,0000,
  DL,06/01/2014,1420,N808DN,DTW,11:23,11:25,0292 ,0296,2,11:44,0019,0000,0000,0000,0000,0000,
  DL,06/01/2014,1480,N6711M,ATL,22:25,22:29,0280 ,0261,4,22:44,0015,0000,0000,0000,0000,0000,
  DL,06/01/2014,1859,N727TW,JFK,06:30,06:24,0340 ,0321,-6,06:39,0015,0000,0000,0000,0000,0000,
  DL,06/01/2014,1866,N654DL,ATL,08:55,08:54,0290 ,0257,-1,09:11,0017,0000,0000,0000,0000,0000,
  DL,06/01/2014,1880,N3731T,ATL,23:25,23:25,0277 ,0274,0,23:54,0029,0000,0000,0000,0000,0000,
  DL,06/01/2014,1887,N906DA,MSP,06:30,06:43,0225 ,0200,13,06:56,0013,0000,0000,0000,0000,0000,
  DL,06/01/2014,2027,N125DL,DTW,22:51,22:54,0282 ,0264,3,23:25,0031,0000,0000,0000,0000,0000,
  DL,06/01/2014,2040,N721TW,JFK,21:45,21:44,0336 ,0304,-1,22:00,0016,0000,0000,0000,0000,0000,
  DL,06/01/2014,2105,N582NW,MSP,14:55,14:59,0230 ,0214,4,15:19,0020,0000,0000,0000,0000,0000,
  DL,06/01/2014,2240,N712TW,JFK,22:55,23:13,0335 ,0318,18,23:35,0022,0000,0000,0000,0000,0000,
  DL,06/01/2014,2305,N315US,MSP,12:40,12:39,0224 ,0214,-1,12:51,0012,0000,0000,0000,0000,0000,
  DL,06/01/2014,2340,N723TW,JFK,16:00,16:56,0346 ,0305,56,17:09,0013,0015,0000,0000,0000,0000,
  DL,06/01/2014,2375,N376NW,SLC,13:05,14:24,0117 ,0088,79,14:36,0012,0050,0000,0000,0000,0000,
  DL,06/01/2014,2396,N375NC,CVG,12:00,12:31,0274 ,0274,31,12:45,0014,0000,0000,0000,0000,0031,
  DL,06/01/2014,2547,N130DL,ATL,07:35,07:30,0279 ,0255,-5,07:46,0016,0000,0000,0000,0000,0000,
  DL,06/02/2014,0061,N813DN,ATL,12:00,12:00,0290 ,0267,0,12:25,0025,0000,0000,0000,0000,0000,
  DL,06/02/2014,0240,N128DL,ATL,06:15,06:14,0282 ,0264,-1,06:36,0022,0000,0000,0000,0000,0000,
  DL,06/02/2014,0414,N727TW,JFK,09:00,08:57,0349 ,0342,-3,09:22,0025,0000,0000,0000,0000,0000,
  DL,06/02/2014,0468,N723TW,JFK,13:00,12:58,0346 ,0327,-2,13:18,0020,0000,0000,0000,0000,0000,
  DL,06/02/2014,0806,N809DN,MSP,00:30,00:27,0216 ,0184,-3,00:40,0013,0000,0000,0000,0000,0000,
