
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): March
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,03/01/2014,0061,N802DN,ATL,11:55,12:17,0268 ,0262,22,12:45,0028,0000,0000,0000,0000,0016,
  DL,03/01/2014,0240,N140LL,ATL,07:45,07:42,0265 ,0260,-3,08:06,0024,0000,0000,0000,0000,0000,
  DL,03/01/2014,0408,N723TW,JFK,08:00,07:55,0325 ,0295,-5,08:12,0017,0000,0000,0000,0000,0000,
  DL,03/01/2014,0468,N709TW,JFK,11:30,11:27,0326 ,0320,-3,11:54,0027,0000,0000,0000,0000,0000,
  DL,03/01/2014,0854,N125DL,DTW,07:00,06:55,0273 ,0257,-5,07:20,0025,0000,0000,0000,0000,0000,
  DL,03/01/2014,1106,N751AT,MSP,08:25,10:24,0217 ,0196,119,10:42,0018,0000,0000,0000,0000,0098,
  DL,03/01/2014,1151,N712TW,HNL,18:30,18:54,0330 ,0373,24,19:12,0018,0024,0000,0043,0000,0000,
  DL,03/01/2014,1420,N813DN,DTW,11:32,11:33,0271 ,0269,1,12:00,0027,0000,0000,0000,0000,0000,
  DL,03/01/2014,1480,N751AT,ATL,22:40,22:29,0259 ,0251,-11,22:45,0016,0000,0000,0000,0000,0000,
  DL,03/01/2014,1859,N707TW,JFK,06:45,06:40,0321 ,0297,-5,06:59,0019,0000,0000,0000,0000,0000,
  DL,03/01/2014,1866,N138DL,ATL,06:15,06:12,0272 ,0250,-3,06:35,0023,0000,0000,0000,0000,0000,
  DL,03/01/2014,1880,N811DZ,ATL,23:45,23:41,0259 ,0248,-4,23:53,0012,0000,0000,0000,0000,0000,
  DL,03/01/2014,1887,N950DN,MSP,06:30,06:24,0221 ,0207,-6,06:40,0016,0000,0000,0000,0000,0000,
  DL,03/01/2014,2240,N717TW,JFK,21:15,21:21,0314 ,0298,6,21:37,0016,0000,0000,0000,0000,0000,
  DL,03/01/2014,2305,N695DL,MSP,12:35,12:57,0220 ,0205,22,13:15,0018,0000,0000,0000,0000,0000,
  DL,03/01/2014,2375,N3735D,SLC,13:21,13:56,0106 ,0117,35,14:29,0033,0001,0000,0011,0000,0034,
  DL,03/02/2014,0061,N703TW,ATL,11:55,11:46,0274 ,0322,-9,12:38,0052,0000,0000,0039,0000,0000,
  DL,03/02/2014,0240,N6713Y,ATL,06:00,05:58,0276 ,0260,-2,06:17,0019,0000,0000,0000,0000,0000,
  DL,03/02/2014,0408,N712TW,JFK,08:00,08:02,0327 ,0314,2,08:28,0026,0000,0000,0000,0000,0000,
  DL,03/02/2014,0468,N152DL,JFK,11:32,12:16,0328 ,0318,44,12:56,0040,0000,0002,0000,0000,0032,
