
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): May
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,05/01/2015,0061,N136DL,ATL,12:00,11:56,0284 ,0266,-4,12:09,0013,0000,0000,0000,0000,0000,
  DL,05/01/2015,0240,N129DL,ATL,09:00,08:58,0284 ,0280,-2,09:33,0035,0000,0000,0000,0000,0000,
  DL,05/01/2015,0342,N717TW,JFK,06:30,06:25,0339 ,0332,-5,06:39,0014,0000,0000,0000,0000,0000,
  DL,05/01/2015,0414,N712TW,JFK,08:30,08:28,0345 ,0332,-2,08:45,0017,0000,0000,0000,0000,0000,
  DL,05/01/2015,0468,N702TW,JFK,13:35,13:32,0349 ,0336,-3,13:47,0015,0000,0000,0000,0000,0000,
  DL,05/01/2015,0710,N831DN,SLC,18:00,17:58,0109 ,0104,-2,18:14,0016,0000,0000,0000,0000,0000,
  DL,05/01/2015,0806,N121DE,MSP,00:30,00:26,0212 ,0196,-4,00:38,0012,0000,0000,0000,0000,0000,
  DL,05/01/2015,0816,N591NW,MSP,08:10,08:07,0215 ,0210,-3,08:28,0021,0000,0000,0000,0000,0000,
  DL,05/01/2015,0854,N126DL,DTW,07:00,06:54,0278 ,0277,-6,07:15,0021,0000,0000,0000,0000,0000,
  DL,05/01/2015,0970,N595NW,HNL,17:30,17:32,0324 ,0302,2,17:47,0015,0000,0000,0000,0000,0000,
