
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): November
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,11/01/2014,0061,N717TW,ATL,11:55,11:53,0269 ,0263,-2,12:05,0012,0000,0000,0000,0000,0000,
  DL,11/01/2014,0302,N812DN,ATL,06:15,06:13,0273 ,0258,-2,06:26,0013,0000,0000,0000,0000,0000,
  DL,11/01/2014,0414,N702TW,JFK,08:30,08:26,0330 ,0333,-4,08:41,0015,0000,0000,0000,0000,0000,
  DL,11/01/2014,0418,N723TW,JFK,06:45,06:40,0323 ,0326,-5,06:54,0014,0000,0000,0000,0000,0000,
  DL,11/01/2014,0468,N722TW,JFK,11:20,11:57,0340 ,0335,37,12:13,0016,0001,0000,0000,0000,0031,
  DL,11/01/2014,0720,N816DN,DTW,13:12,13:09,0272 ,0274,-3,13:22,0013,0000,0000,0000,0000,0000,
  DL,11/01/2014,0854,N3747D,DTW,07:00,06:55,0273 ,0275,-5,07:11,0016,0000,0000,0000,0000,0000,
  DL,11/01/2014,1106,N814DN,MSP,09:00,08:57,0217 ,0204,-3,09:13,0016,0000,0000,0000,0000,0000,
  DL,11/01/2014,1221,N658DL,ATL,09:15,09:11,0270 ,0270,-4,09:27,0016,0000,0000,0000,0000,0000,
  DL,11/01/2014,1424,N593NW,DTW,11:38,11:36,0267 ,0268,-2,11:51,0015,0000,0000,0000,0000,0000,
  DL,11/01/2014,1866,N124DE,ATL,07:45,07:44,0270 ,0262,-1,07:59,0015,0000,0000,0000,0000,0000,
  DL,11/01/2014,1880,N808DN,ATL,23:45,23:49,0266 ,0258,4,00:02,0013,0000,0000,0000,0000,0000,
  DL,11/01/2014,1988,N583NW,DTW,23:59,23:58,0267 ,0268,-1,00:21,0023,0000,0000,0000,0000,0000,
  DL,11/01/2014,2105,N325US,MSP,15:00,14:54,0214 ,0209,-6,15:10,0016,0000,0000,0000,0000,0000,
  DL,11/01/2014,2240,N723TW,JFK,22:35,22:29,0325 ,0333,-6,22:47,0018,0000,0000,0000,0000,0000,
  DL,11/01/2014,2305,N669DN,MSP,12:45,12:46,0212 ,0197,1,12:58,0012,0000,0000,0000,0000,0000,
  DL,11/01/2014,2526,N681DA,ATL,14:25,14:21,0272 ,0293,-4,14:34,0013,0000,0000,0017,0000,0000,
  DL,11/01/2014,2566,N368NW,MSP,06:50,06:46,0215 ,0202,-4,06:59,0013,0000,0000,0000,0000,0000,
  DL,11/02/2014,0061,N125DL,ATL,12:00,12:07,0270 ,0265,7,12:21,0014,0000,0000,0000,0000,0000,
  DL,11/02/2014,0240,N139DL,ATL,07:45,07:42,0268 ,0253,-3,07:52,0010,0000,0000,0000,0000,0000,
  DL,11/02/2014,0367,N666DN,SLC,16:50,16:43,0105 ,0116,-7,17:01,0018,0000,0000,0000,0000,0000,
  DL,11/02/2014,0406,N366NW,MSP,12:35,12:29,0211 ,0202,-6,12:41,0012,0000,0000,0000,0000,0000,
  DL,11/02/2014,0414,N704X ,JFK,08:30,08:25,0324 ,0316,-5,08:44,0019,0000,0000,0000,0000,0000,
