
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): October
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,10/01/2014,0061,N593NW,ATL,11:55,11:53,0275 ,0273,-2,12:16,0023,0000,0000,0000,0000,0000,
  DL,10/01/2014,0240,N807DN,ATL,06:15,06:25,0275 ,0251,10,06:38,0013,0000,0000,0000,0000,0000,
  DL,10/01/2014,0414,N711ZX,JFK,08:30,08:26,0333 ,0346,-4,08:42,0016,0000,0000,0000,0000,0000,
  DL,10/01/2014,0418,N703TW,JFK,06:45,06:37,0325 ,0359,-8,06:57,0020,0000,0000,0026,0000,0000,
  DL,10/01/2014,0468,N727TW,JFK,11:20,11:14,0340 ,0362,-6,11:36,0022,0000,0000,0016,0000,0000,
  DL,10/01/2014,0720,N823DN,DTW,13:12,13:19,0276 ,0281,7,13:39,0020,0000,0000,0000,0000,0000,
  DL,10/01/2014,0854,N3732J,DTW,07:00,06:55,0275 ,0283,-5,07:12,0017,0000,0000,0000,0000,0000,
  DL,10/01/2014,1221,N6701 ,ATL,09:15,09:08,0275 ,0274,-7,09:31,0023,0000,0000,0000,0000,0000,
  DL,10/01/2014,1424,N581NW,DTW,11:30,11:28,0272 ,0289,-2,11:58,0030,0000,0000,0015,0000,0000,
  DL,10/01/2014,1768,N3763D,SLC,16:35,17:01,0108 ,0098,26,17:15,0014,0003,0000,0000,0000,0013,
  DL,10/01/2014,1859,N374DA,ATL,16:00,15:55,0272 ,0261,-5,16:11,0016,0000,0000,0000,0000,0000,
  DL,10/01/2014,1866,N128DL,ATL,07:05,07:02,0275 ,0265,-3,07:23,0021,0000,0000,0000,0000,0000,
  DL,10/01/2014,1880,N808DN,ATL,23:09,23:16,0271 ,0265,7,23:32,0016,0000,0000,0000,0000,0000,
  DL,10/01/2014,1894,N356NW,CVG,23:00,22:53,0263 ,0256,-7,23:10,0017,0000,0000,0000,0000,0000,
  DL,10/01/2014,1988,N592NW,DTW,22:55,22:55,0268 ,0301,0,23:20,0025,0000,0000,0033,0000,0000,
  DL,10/01/2014,2040,N709TW,JFK,16:00,15:54,0327 ,0338,-6,16:18,0024,0000,0000,0000,0000,0000,
  DL,10/01/2014,2105,N328NW,MSP,15:00,14:58,0216 ,0204,-2,15:13,0015,0000,0000,0000,0000,0000,
  DL,10/01/2014,2240,N707TW,JFK,21:35,21:32,0325 ,0320,-3,21:46,0014,0000,0000,0000,0000,0000,
  DL,10/01/2014,2305,N695DL,MSP,12:45,12:46,0213 ,0207,1,12:56,0010,0000,0000,0000,0000,0000,
  DL,10/01/2014,2340,N713TW,JFK,13:30,13:29,0332 ,0372,-1,13:50,0021,0000,0000,0039,0000,0000,
  DL,10/01/2014,2375,N349NW,SLC,13:25,13:23,0107 ,0101,-2,13:41,0018,0000,0000,0000,0000,0000,
