
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): September
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,09/01/2015,0061,N616DL,ATL,12:00,12:01,0288 ,0273,1,12:18,0017,0000,0000,0000,0000,0000,
  DL,09/01/2015,0064,N829DN,ATL,09:00,08:57,0285 ,0268,-3,09:11,0014,0000,0000,0000,0000,0000,
  DL,09/01/2015,0414,N717TW,JFK,08:30,08:24,0342 ,0332,-6,08:46,0022,0000,0000,0000,0000,0000,
  DL,09/01/2015,0468,N710TW,JFK,13:20,13:13,0339 ,0335,-7,13:35,0022,0000,0000,0000,0000,0000,
  DL,09/01/2015,0745,N833DN,DTW,11:15,11:10,0275 ,0267,-5,11:28,0018,0000,0000,0000,0000,0000,
  DL,09/01/2015,0854,N812DN,DTW,07:00,06:56,0277 ,0269,-4,07:11,0015,0000,0000,0000,0000,0000,
  DL,09/01/2015,1420,N587NW,DTW,22:40,22:35,0267 ,0265,-5,22:54,0019,0000,0000,0000,0000,0000,
  DL,09/01/2015,1562,N126DL,MSP,00:05,00:02,0206 ,0199,-3,00:14,0012,0000,0000,0000,0000,0000,
  DL,09/01/2015,1583,N721TW,JFK,11:20,11:17,0349 ,0363,-3,11:45,0028,0000,0000,0000,0000,0000,
  DL,09/01/2015,1680,N588NW,ATL,14:30,14:37,0288 ,0267,7,14:53,0016,0000,0000,0000,0000,0000,
  DL,09/01/2015,1698,N584NW,DTW,09:00,08:59,0272 ,0273,-1,09:18,0019,0000,0000,0000,0000,0000,
  DL,09/01/2015,1859,N718TW,JFK,06:20,06:16,0337 ,0328,-4,06:35,0019,0000,0000,0000,0000,0000,
  DL,09/01/2015,1866,N804DN,ATL,06:05,06:01,0284 ,0277,-4,06:25,0024,0000,0000,0000,0000,0000,
  DL,09/01/2015,1880,N139DL,ATL,22:55,00:16,0275 ,0266,81,00:36,0020,0000,0000,0000,0000,0072,
  DL,09/01/2015,1978,N670DN,MSP,08:30,08:27,0214 ,0200,-3,08:38,0011,0000,0000,0000,0000,0000,
