
   Detailed Statistics  
    Departures 
  
  Airport: San Francisco-Oakland-Freemont, CA - San Francisco International (SFO)
  Airline: Delta Air Lines (DL)
  Month(s): September
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2014
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  DL,09/01/2014,0061,N130DL,ATL,11:55,11:49,0293 ,0275,-6,12:14,0025,0000,0000,0000,0000,0000,
  DL,09/01/2014,0240,N6700 ,ATL,06:10,06:02,0287 ,0264,-8,06:20,0018,0000,0000,0000,0000,0000,
  DL,09/01/2014,0414,N703TW,JFK,08:15,08:18,0341 ,0326,3,08:32,0014,0000,0000,0000,0000,0000,
  DL,09/01/2014,0418,N702TW,JFK,06:45,06:41,0337 ,0315,-4,06:52,0011,0000,0000,0000,0000,0000,
  DL,09/01/2014,0468,N713TW,JFK,11:20,11:15,0348 ,0333,-5,11:47,0032,0000,0000,0000,0000,0000,
  DL,09/01/2014,0690,N137DL,DTW,13:10,13:09,0281 ,0279,-1,13:34,0025,0000,0000,0000,0000,0000,
  DL,09/01/2014,0854,N583NW,DTW,07:15,07:12,0269 ,0277,-3,07:33,0021,0000,0000,0000,0000,0000,
  DL,09/01/2014,1106,N581NW,MSP,08:15,08:11,0216 ,0203,-4,08:27,0016,0000,0000,0000,0000,0000,
  DL,09/01/2014,1151,N596NW,HNL,15:25,15:20,0334 ,0319,-5,15:44,0024,0000,0000,0000,0000,0000,
  DL,09/01/2014,1221,N817DN,ATL,23:36,00:50,0278 ,0268,74,01:03,0013,0000,0000,0000,0000,0064,
  DL,09/01/2014,1401,N903DA,MSP,09:00,08:55,0219 ,0210,-5,09:14,0019,0000,0000,0000,0000,0000,
  DL,09/01/2014,1420,N803DN,DTW,11:25,11:19,0280 ,0460,-6,11:43,0024,0000,0000,0000,0000,0000,
  DL,09/01/2014,1866,N809DN,ATL,07:30,07:25,0286 ,0267,-5,07:44,0019,0000,0000,0000,0000,0000,
  DL,09/01/2014,1880,N144DA,ATL,22:36,22:35,0281 ,0264,-1,22:53,0018,0000,0000,0000,0000,0000,
  DL,09/01/2014,1894,N357NW,CVG,12:14,12:12,0271 ,0241,-2,12:24,0012,0000,0000,0000,0000,0000,
  DL,09/01/2014,1988,N822DN,DTW,23:00,22:58,0278 ,0254,-2,23:16,0018,0000,0000,0000,0000,0000,
  DL,09/01/2014,2040,N722TW,JFK,16:00,16:06,0338 ,0309,6,16:23,0017,0000,0000,0000,0000,0000,
  DL,09/01/2014,2105,N681DA,MSP,15:16,15:19,0218 ,0192,3,15:33,0014,0000,0000,0000,0000,0000,
  DL,09/01/2014,2130,N368NB,SLC,06:10,06:06,0116 ,0102,-4,06:23,0017,0000,0000,0000,0000,0000,
  DL,09/01/2014,2240,N704X ,JFK,21:20,21:16,0325 ,0312,-4,21:40,0024,0000,0000,0000,0000,0000,
  DL,09/01/2014,2261,N143DA,ATL,08:45,08:41,0291 ,0273,-4,09:02,0021,0000,0000,0000,0000,0000,
  DL,09/01/2014,2305,N952DN,MSP,12:45,12:44,0226 ,0206,-1,12:56,0012,0000,0000,0000,0000,0000,
  DL,09/01/2014,2340,N723TW,JFK,13:30,13:29,0346 ,0334,-1,13:57,0028,0000,0000,0000,0000,0000,
  DL,09/01/2014,2349,N818DA,ATL,16:00,15:57,0289 ,0258,-3,16:11,0014,0000,0000,0000,0000,0000,
  DL,09/01/2014,2375,N355NW,SLC,13:10,13:07,0113 ,0107,-3,13:29,0022,0000,0000,0000,0000,0000,
  DL,09/01/2014,2389,N819DN,DTW,09:00,08:54,0280 ,0255,-6,09:09,0015,0000,0000,0000,0000,0000,
  DL,09/01/2014,2535,N909DA,MSP,17:30,17:23,0221 ,0200,-7,17:39,0016,0000,0000,0000,0000,0000,
  DL,09/01/2014,2566,N965DN,MSP,06:30,06:26,0219 ,0214,-4,06:48,0022,0000,0000,0000,0000,0000,
  DL,09/01/2014,2616,N585NW,ATL,14:20,14:20,0288 ,0272,0,14:48,0028,0000,0000,0000,0000,0000,
  DL,09/02/2014,0240,N3758Y,ATL,06:10,06:07,0288 ,0289,-3,06:23,0016,0000,0000,0000,0000,0000,
  DL,09/02/2014,0414,N717TW,JFK,08:15,08:14,0345 ,0325,-1,08:28,0014,0000,0000,0000,0000,0000,
  DL,09/02/2014,0418,N702TW,JFK,06:45,06:42,0337 ,0320,-3,07:04,0022,0000,0000,0000,0000,0000,
  DL,09/02/2014,0468,N713TW,JFK,11:20,11:19,0353 ,0350,-1,11:48,0029,0000,0000,0000,0000,0000,
  DL,09/02/2014,0854,N592NW,DTW,07:00,06:58,0278 ,0263,-2,07:23,0025,0000,0000,0000,0000,0000,
